STORE,STORE_NAME,LABEL_NAME,ADDRESS,GEO_LATITUDE,GEO_LONGITUDE,OPEN_TIME,CLOSE_TIME
10,Холидей,Холидей Классик,"630055, г. Новосибирск, ул. Героев труда, 18",54.865907,83.081147,8:00:00 AM,12:00:00 AM
11,Централь,Холидей Классик,"630132, г. Новосибирск, ул. Нарымская, 19",55.041875,82.906631,8:00:00 AM,12:00:00 AM
12,Крез,Холидей Классик,"630128, г. Новосибирск, ул. Демакова, 3",54.864088,83.101871,8:00:00 AM,12:00:00 AM
13,Витязь,Холидей Классик,"630017, г. Новосибирск, ул. Б. Богаткова, 206",55.033677,82.973313,8:00:00 AM,12:00:00 AM
15,Светлана,Холди,"630090, г. Новосибирск, ул. Кочубея, 3/1",55.106428,82.9555,8:00:00 AM,9:00:00 PM
16,Аквариум,Холидей Классик,"630111, г. Новосибирск, ул. Терешковой, 12",54.840889,83.102042,8:00:00 AM,12:00:00 AM
17,Меркурий,Холидей Классик,"630111, г. Новосибирск, ул. Кропоткина, 120/3",55.056156,82.931138,8:00:00 AM,12:00:00 AM
18,НТЦ Васхнил,Холидей Классик,"630501, р.п. Краснообск ""Новый торговый центр""",54.919296,82.983289,8:00:00 AM,12:00:00 AM
20,Глобус,Холидей Классик,"634006, г. Новосибирск, ул. Лазурная, 4/3",55.033754,83.009318,8:00:00 AM,12:00:00 AM
21,Васхнил 2,Сибириада,"630501, р.п.Краснообск 80                     ",54.919963,82.990992,8:00:00 AM,12:00:00 AM
24,Уют,Холидей Классик,"630105, г. Новосибирск, ул. Дуси Ковальчук, 89",55.055749,82.902041,8:00:00 AM,12:00:00 AM
25,Садко,Холидей Классик,"630105, г. Новосибирск, ул. Красный проспект, 96",55.05349,82.91495,8:00:00 AM,12:00:00 AM
26,ЦОТ,Холидей Классик,"634061, г. Томск, ул. Красноармейская, 44       ",56.475539,84.966954,круглосуточно ,
27,Вамир,Холидей Классик,"630064, г. Новосибирск, ул. Ветлужская, 24",54.854921,82.974355,8:00:00 AM,12:00:00 AM
30,Воскресенье,Холидей Классик,"656043, г. Барнаул, ул. Малая Олонская, 28",53.328853,83.796332,8:00:00 AM,12:00:00 AM
31,Мелодия,Холидей Классик,"630015, г. Новосибирск, ул. Трикотажная, 29",55.057574,82.97697,8:00:00 AM,12:00:00 AM
32,Стиль,Холидей Классик,"634063, г. Томск, ул. Суворова, 10",56.510269,85.025973,7:00:00 AM,12:00:00 AM
33,Каштак,Холди,"634057, г. Томск, ул. 79-ой Гвардейской Дивизии, 12",56.509946,84.978506,7:00:00 AM,11:00:00 PM
34,Стэлла,Холидей Классик,"630071, г. Новосибирск, ул. Колхидская, 11",54.989796,82.816477,8:00:00 AM,12:00:00 AM
35,Малышок,Холидей Классик,"633010, г. Бердск, ул. Горького, 6",54.759057,83.106677,8:00:00 AM,12:00:00 AM
36,Попова-Исакова,Холидей Классик,"656062, г. Барнаул, ул. Попова, 86/ул. Исакова, 260",53.367658,83.675293,8:00:00 AM,12:00:00 AM
37,Лидер,Холидей Классик,"656058, г. Барнаул, ул. Шумакова, 46",53.335984,83.676622,круглосуточно ,12:00:00 AM
40,НЖК,Холидей Классик,"630005, г. Новосибирск, ул. Семьи Шамшиных, 88",55.046424,82.928883,8:00:00 AM,12:00:00 AM
41,Вавилон,Холидей Классик,"656049, г. Барнаул, пр. Красноармейский, 72",53.339995,83.772868,8:00:00 AM,12:00:00 AM
43,Шукшина,Холидей Классик,"656060, г. Барнаул, ул. Шукшина, 28",53.365627,83.667558,8:00:00 AM,12:00:00 AM
45,Немировича-Данченко,Холидей Классик,"630087, г. Новосибирск, ул. Немировича Данченко, 142",54.988391,82.914752,8:00:00 AM,12:00:00 AM
46,Зорге,Холидей Классик,"630106, г. Новосибирск, ул. Зорге, 191",54.935012,82.915857,8:00:00 AM,12:00:00 AM
47,Пархоменко,Холидей Классик,"630136, г. Новосибирск, ул. Пархоменко, 90/1",54.987219,82.850163,8:00:00 AM,12:00:00 AM
49,Северо-Чемской,Холидей Классик,"630066, г. Новосибирск, ул. Комсомольская, 10",54.957495,82.964447,8:00:00 AM,12:00:00 AM
50,Волховская,Холидей Классик,"630107, г. Новосибирск, ул. Волховская, 30",54.969528,82.839707,8:00:00 AM,12:00:00 AM
52,Станционная 18-2,Холди,"630108, г. Новосибирск, ул. Станционная, 18/2",54.998101,82.864294,8:00:00 AM,9:00:00 PM
53,Меридиан,Холди,"630048, г. Новосибирск, ул. Сибиряков-Гвардейцев, 1",54.978446,82.897271,9:00:00 AM,10:00:00 PM
55,Титова 198,Сибириада,"630035, г. Новосибирск, ул. Титова, 198",54.98057,82.829143,8:00:00 AM,12:00:00 AM
57,Степная 61а,Сибириада,"630079, г. Новосибирск, ул. Степная, 61а",54.977491,82.86397,8:00:00 AM,12:00:00 AM
58,Вера (Зорге 18),Сибириада,"630106, г. Новосибирск, ул. Зорге, 18",54.933967,82.906946,8:00:00 AM,12:00:00 AM
59,Зорге 118,Сибириада,"630106, г. Новосибирск, ул. Зорге, 118",54.937267,82.919729,8:00:00 AM,10:00:00 PM
60,Петухова,Сибириада,"630088, г. Новосибирск, ул. Петухова, 76",54.939941,82.912533,8:00:00 AM,10:00:00 PM
61,Никитина 62,Сибириада,"630008, г. Новосибирск, ул. Никитина, 62",55.011717,82.960414,8:00:00 AM,12:00:00 AM
64,Трикотажная,Сибириада,"630084, г. Новосибирск, ул. Трикотажная, 55",55.068561,82.962381,8:00:00 AM,12:00:00 AM
65,Дуси Ковальчук 378а,Сибириада,"630075, г. Новосибирск, ул. Дуси Ковальчук, 378а",55.063313,82.924328,8:00:00 AM,12:00:00 AM
67,Золотодолинская 2,Сибириада,"630090, г. Новосибирск, ул. Золотодолинская, 2",54.833526,83.103848,8:00:00 AM,12:00:00 AM
68,Шлюзовая 26,Сибириада,"630058, г. Новосибирск, ул. Шлюзовая, 26",54.852412,83.044694,8:00:00 AM,12:00:00 AM
69,Демакова 20,Сибириада,"630128, г. Новосибирск, ул. Демакова, 20",54.863223,83.1093,7:30:00 AM,12:00:00 AM
70,Русская 7,Сибириада,"630058, г. Новосибирск, ул. Русская, 7",54.848344,83.042142,8:00:00 AM,10:00:00 PM
72,Искитим2,Сибириада,"633208, г. Искитим, м-он Южный, 40а",54.611669,83.287894,8:00:00 AM,10:00:00 PM
73,Искитим3,Сибириада,"633210, г. Искитим, м-он Индустриальный, 13а",54.628293,83.306795,8:00:00 AM,10:00:00 PM
